,KL,NCT
plankton_bacteria,inf,0.941208305116
plankton_eukarya,inf,6.69135280131e-17
David_stool_A,259.876049129,6.0120137318e-169
David_stool_B,316.969202035,6.47497215936e-206
Caporaso_F4_feces_L2,inf,5.42146974564e-47
Caporaso_F4_feces_L3,inf,3.50532330458e-43
Caporaso_F4_feces_L4,inf,4.00944720755e-41
Caporaso_F4_feces_L5,inf,2.49653397492e-105
Caporaso_F4_feces_L6,inf,1.2688322504e-81
Caporaso_M3_feces_L2,140.558427843,2.5963762465e-23
Caporaso_M3_feces_L3,269.560622195,1.8315643271e-46
Caporaso_M3_feces_L4,inf,1.19761368822e-52
Caporaso_M3_feces_L5,inf,2.4002167922e-07
Caporaso_M3_feces_L6,inf,1.09465007774e-05
Caporaso_F4_L_palm_L2,inf,3.89767719101e-10
Caporaso_F4_L_palm_L3,inf,0.280455769098
Caporaso_F4_L_palm_L4,inf,0.278753598956
Caporaso_F4_L_palm_L5,inf,0.179188912572
Caporaso_F4_L_palm_L6,inf,0.00849872397446
Caporaso_M3_L_palm_L2,inf,1.80673636423e-10
Caporaso_M3_L_palm_L3,inf,2.48168895696e-22
Caporaso_M3_L_palm_L4,inf,0.00498060269779
Caporaso_M3_L_palm_L5,inf,1.27134417097e-07
Caporaso_M3_L_palm_L6,inf,9.75726249743e-07
Caporaso_F4_R_palm_L2,inf,1.87200101048e-20
Caporaso_F4_R_palm_L3,inf,1.57269410847e-22
Caporaso_F4_R_palm_L4,inf,0.00337235084038
Caporaso_F4_R_palm_L5,inf,5.03049490664e-08
Caporaso_F4_R_palm_L6,inf,0.644551385544
Caporaso_M3_R_palm_L2,inf,2.54951847089e-06
Caporaso_M3_R_palm_L3,inf,0.501735885911
Caporaso_M3_R_palm_L4,inf,0.00152850511386
Caporaso_M3_R_palm_L5,inf,5.5495881995e-15
Caporaso_M3_R_palm_L6,inf,6.01658127238e-23
Caporaso_F4_tongue_L2,inf,3.61108286107e-22
Caporaso_F4_tongue_L3,inf,9.40554292379e-09
Caporaso_F4_tongue_L4,inf,0.744544426454
Caporaso_F4_tongue_L5,inf,0.0544836665455
Caporaso_F4_tongue_L6,inf,0.071686248775
Caporaso_M3_tongue_L2,119.533338465,7.50509898428e-21
Caporaso_M3_tongue_L3,inf,2.37525442522e-60
Caporaso_M3_tongue_L4,inf,8.91990557126e-40
Caporaso_M3_tongue_L5,inf,3.74114396041e-22
Caporaso_M3_tongue_L6,inf,3.10695790271e-23
